Name,Designator,Footprint,LCSC Part #
2.2uF 0603 Capacitor,"C6, C12, C19",CAPC1608X90X40NL10T20,C23630
100nF 0402 Capacitor,"C2, C3, C5, C7, C8, C10, C11, C13, C14, C17, C21",CAPC0402(1005)60_L,C1525
10nF 0402 Capacitor,C4,CAPC0402(1005)60_L,C15195
4.7uF 0603 Capacitor,"C1, C9, C18, C20",CAPC1608X90X40NL10T20,C19666
18pF 0402 Capacitor,"C15, C16",CAPC0402(1005)60_L,C1549
Red 0603 Light-Emitting Diode,"D1, D5, D6, D7",LTST-C191KRKT_V,C2286
MBR0530T1G,"D2, D4",ONSC-SOD-123-2-425-04_V,C7436545
"PESD5V0S2BT,215",D3,SOT95P230X110-3N,C49338
USBLC6-2SC6,IC1,SOT95P280X145-6N,C7519
STM32F722RET6,IC2,QFP50P1200X1200X160-64N,C118207
TYPE-C_16PIN_2MD_(073),J3,SHOUHAN_TYPE-C_16PIN_2MD_(073),C2765186
TF-01A,J26,TF-01A,C91145
SM06B-SRSS-TB(LF)(SN),P1,JST-SM06B-SRSS-TB_V,C160405
22R 0402 Resistor,"R1, R2, R4, R5, R6, R7, R8, R9, R11, R12, R13, R14, R16, R17, R18, R26, R28, R29, R30, R31, R32, R35, R36, R37, R38, R43",RESC0402(1005)_L,C25092
10k 0402 Resistor,"R3, R27, R34, R39",RESC0402(1005)_L,C25744
5k1 0402 Resistor,"R10, R15",RESC0402(1005)_L,C25905
4k7 0402 Resistor,"R19, R20",RESC0402(1005)_L,C25900
470R 0603 Resistor,"R21, R40, R41, R42",RESC1608X55X25NL10T15,C23179
100k 0402 Resistor,"R22, R23, R24, R25",RESC0402(1005)_L,C25741
0R 0402 Resistor,R44,RESC0402(1005)_L,C17168
TS-1187A-B-A-B,S1,TS1187ABAB,C318884
ICM-42688-P,U1,PQFN50P300X250X97-14N,C48586483
BMP388,U2,PQFN50P200X200X80-10N,C779278
AP2112K-3.3TRG1,U3,FP-SOT25-IPC_A,C23380830
X32258MOB4SI,Y1,X32258MOB4SI,C2682775
